endTime,artistName,trackName,msPlayed,Language
2021-01-20 19:34,Billie Eilish,i love you,205230,en
2021-01-21 00:05,Atif Aslam,Tu Jaane Na,341933,mr
2021-01-21 00:11,Atif Aslam,Aadat,333740,hi
2021-01-21 00:15,Akhil Sachdeva,"Humsafar (From ""Badrinath Ki Dulhania"")",268463,hi
2021-01-21 00:20,Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",284779,hi
2021-01-21 00:25,Pritam,Mere Bina,289560,hi
2021-01-21 00:29,Amit Trivedi,Iktara,253773,hi
2021-01-21 00:32,Badshah,"Akh Lad Jaave (From ""Loveyatri"")",180175,mr
2021-01-21 00:37,Pritam,Tum Se Hi,321225,hi
2021-01-21 00:44,Rahat Fateh Ali Khan,Afreen Afreen (Coke Studio Season 9),400000,ha
2021-01-21 00:48,Vilen,Ek Raat,224040,hi
2021-01-21 00:52,Vishal-Shekhar,Jab Mila Tu,251853,hi
2021-01-21 00:57,Mohit Chauhan,Tum Ho,316500,hi
2021-01-21 01:03,A.R. Rahman,Maa Tujhe Salaam - Live,374666,hi
2021-01-21 01:07,Maize Mirchi,Jashn-E-Bahara,188000,hi
2021-01-21 01:12,Palak Muchhal,"Chahun Main Ya Naa (From ""Aashiqui 2"")",304899,hi
2021-01-21 01:20,Javed Ali,Arziyan,519235,hi
2021-01-21 01:24,Arijit Singh,"Raabta (From ""Agent Vinod)",243578,hi
2021-01-21 01:29,Atif Aslam,Main Rang Sharbaton Ka,263152,hi
2021-01-21 01:33,Pritam,Kyon,266053,hi
2021-01-21 01:37,Pritam,Kabira,223459,rw
2021-01-21 01:43,Pritam,Bulleya,348965,kn
2021-01-21 01:46,Gajendra Verma,"Mann Mera (From ""Table No. 21"")",198125,en
2021-01-21 01:51,Ayushmann Khurrana,"Chan Kitthan (From ""Chan Kitthan"")",269351,en
2021-01-21 01:54,Akhil,"Duniyaa (From ""Luka Chuppi"")",222500,hi
2021-01-21 01:59,Pritam,Tum Mile - Love Reprise,303320,en
2021-01-21 02:04,Pritam,Jiyein Kyun,264962,hi
2021-01-21 02:07,Jawad Ahmad,"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]",215611,hi
2021-01-21 02:18,Atif Aslam,Tajdar-E-Haram Coke Studio Season 8,616509,hi
2021-01-21 02:21,Sachin-Jigar,Saibo,195253,ja
2021-01-21 02:24,Amit Trivedi,Tu Hi Hai,199643,it
2021-01-21 02:29,Arijit Singh,"Tum Hi Ho (From ""Aashiqui 2"")",261974,hi
2021-01-21 02:34,Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"")",341054,hi
2021-01-21 02:40,Pritam,Alvida,338586,hi
2021-01-21 02:45,Pritam,Channa Mereya,289333,kn
2021-01-21 02:50,Atif Aslam,Tere Sang Yaara,286380,hi
2021-01-21 02:53,Jasleen Royal,Kho Gaye Hum Kahan,213055,hi
2021-01-21 02:58,Atif Aslam,Be Intehaan,290867,hi
2021-01-21 03:03,Rashid Ali,Kahin To,303206,mr
2021-01-21 03:08,Salim–Sulaiman,Shukran Allah,290053,ar
2021-01-21 03:16,A.R. Rahman,Kun Faya Kun,470500,ar
2021-01-21 03:21,James,Bheegi Bheegi,345240,hi
2021-01-21 03:26,Ammy Virk,Daryaa,261918,so
2021-01-21 03:29,Pritam,Channa Mereya - Unplugged,165333,kn
2021-01-21 03:34,Atif Aslam,Kuch Is Tarah,313825,hi
2021-01-21 03:40,Atif Aslam,Tu Jaane Na,341933,mr
2021-01-21 03:45,Atif Aslam,Aadat,333740,hi
2021-01-21 03:50,Akhil Sachdeva,"Humsafar (From ""Badrinath Ki Dulhania"")",268463,hi
2021-01-21 03:54,Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",284779,hi
