endTime,artist,track,time
21/06/2021 17:55,dontaskalex,Heaven,1.631583333
22/06/2021 07:38,Offset,Ric Flair Drip (with Metro Boomin),0.016383333
22/06/2021 07:38,DJ Khaled,POPSTAR (feat. Drake),0.010733333
22/06/2021 07:38,Pop Smoke,Dior,0.047466667
22/06/2021 07:38,Drake,Chicago Freestyle (feat. Giveon),0.083666667
22/06/2021 07:38,Don Toliver,Had Enough (feat. Quavo & Offset),0.004666667
22/06/2021 07:38,AG Club,NOHO (feat. ICECOLDBISHOP),0.0114
22/06/2021 07:38,Jack Harlow,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",1.450733333
22/06/2021 07:42,NAV,Champion (feat. Travis Scott),3.250883333
22/06/2021 07:45,Metro Boomin,10 Freaky Girls (with 21 Savage),3.47155
22/06/2021 07:46,YG,SWAG,0.000383333
22/06/2021 07:46,BROCKHAMPTON,OLD NEWS (feat. Baird),1.034316667
22/06/2021 07:46,Frank Ocean,In My Room,0.011583333
22/06/2021 07:49,NAV,Turks (with Gunna & ft. Travis Scott),2.68865
22/06/2021 07:53,H.E.R.,Slide,3.972016667
22/06/2021 07:56,JACKBOYS,GATTI,3.019066667
22/06/2021 07:59,BROCKHAMPTON,LOVE ME FOR LIFE,3.58355
22/06/2021 08:02,Baby Keem,durag activity (with Travis Scott),0.015
22/06/2021 08:02,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),0.012683333
22/06/2021 08:02,Drake,Portland,0.012516667
22/06/2021 08:02,Future,Life Is Good (feat. Drake),2.298033333
22/06/2021 08:05,Meek Mill,Going Bad (feat. Drake),3.0087
22/06/2021 08:07,JACKBOYS,OUT WEST (feat. Young Thug),1.704383333
22/06/2021 08:10,BROCKHAMPTON,BOY BYE,0.014266667
22/06/2021 08:10,Kodak Black,ZEZE (feat. Travis Scott & Offset),3.584033333
22/06/2021 08:10,J. Cole,MIDDLE CHILD,0.172316667
22/06/2021 08:15,Rae Sremmurd,Guatemala - From Swaecation,4.27235
22/06/2021 08:16,Lil Tjay,Headshot (feat. Polo G & Fivio Foreign),1.060166667
22/06/2021 08:19,NAV,Tap (feat. Meek Mill),2.4713
22/06/2021 08:21,J. Cole,a m a r i,2.473683333
22/06/2021 08:24,Young Thug,The London (feat. J. Cole & Travis Scott),2.510333333
22/06/2021 15:57,DJ Khaled,GREECE (feat. Drake),0.326216667
22/06/2021 18:27,DJ Khaled,GREECE (feat. Drake),0.864033333
22/06/2021 18:31,DJ Khaled,GREECE (feat. Drake),3.5512
22/06/2021 18:34,Machine Gun Kelly,Bad Things (with Camila Cabello),0.08905
22/06/2021 18:34,Metro Boomin,10 Freaky Girls (with 21 Savage),3.011616667
22/06/2021 18:36,Ellie Goulding,Hate Me (with Juice WRLD),2.255533333
22/06/2021 18:39,Ruel,too many feelings,2.966
22/06/2021 18:42,Lauv,Sad Forever,3.392
22/06/2021 18:45,Bazzi,Changed,2.3837
22/06/2021 18:48,Bryan Adams,18 Til I Die,3.483783333
22/06/2021 18:49,Rihanna,Love The Way You Lie (Part II) - Pt. 2,1.14885
22/06/2021 19:02,Tessa Violet,Wishful Drinking,0.798966667
22/06/2021 19:05,Cavetown,Smoke Signals (feat. Tessa Violet),1.043866667
22/06/2021 19:10,DJ Khaled,GREECE (feat. Drake),3.139116667
22/06/2021 20:06,DJ Khaled,GREECE (feat. Drake),0.757166667
22/06/2021 20:08,Shiloh Dynasty,Dance with Me,1.8219
22/06/2021 20:11,Floreyyyy,Not Even Her (feat. Shiloh),2.91165
